"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Igkc",0,4.05534003109794,0.943,0.036,0,"0","Igkc"
"Ly6d",0,3.23312131807357,0.921,0.035,0,"0","Ly6d"
"Ighm",0,3.1480501010059,0.989,0.197,0,"0","Ighm"
"Bank1",0,3.07877484989607,0.959,0.118,0,"0","Bank1"
"Ms4a1",0,2.81594290114721,0.93,0.021,0,"0","Ms4a1"
"Cd79a",0,2.73084901802296,0.943,0.025,0,"0","Cd79a"
"Ebf1",0,2.67196247898053,0.995,0.234,0,"0","Ebf1"
"Cd74",0,2.41571450520266,0.988,0.163,0,"0","Cd74"
"Cd37",0,2.35163950994191,0.979,0.247,0,"0","Cd37"
"Mef2c",0,2.32950724490278,0.979,0.306,0,"0","Mef2c"
"Pax5",0,2.26920954809917,0.925,0.021,0,"0","Pax5"
"Iglc3",0,2.20683447377468,0.853,0.019,0,"0","Iglc3"
"Cd79b",0,2.17110943897948,0.894,0.058,0,"0","Cd79b"
"Aff3",0,2.16703283094717,0.987,0.358,0,"0","Aff3"
"Bach2",0,2.16697295497129,0.957,0.368,0,"0","Bach2"
"Ralgps2",0,2.14128355400417,0.936,0.276,0,"0","Ralgps2"
"Prkcb",0,2.10308476045274,0.98,0.336,0,"0","Prkcb"
"Ikzf3",0,2.10236864425498,0.94,0.168,0,"0","Ikzf3"
"Iglc1",0,2.03667773636805,0.67,0.015,0,"0","Iglc1"
"Iglc2",0,1.88032632225652,0.521,0.012,0,"0","Iglc2"
"Cmah",0,1.83366953357304,0.85,0.164,0,"0","Cmah"
"Blnk",0,1.82921597600761,0.885,0.105,0,"0","Blnk"
"Tmem163",0,1.79712067740249,0.721,0.047,0,"0","Tmem163"
"Bcl11a",0,1.77470347038692,0.792,0.111,0,"0","Bcl11a"
"Snx29",0,1.7517280476765,0.825,0.248,0,"0","Snx29"
"Ighd",0,1.7168149433924,0.722,0.019,0,"0","Ighd"
"Btla",0,1.70262678655566,0.814,0.098,0,"0","Btla"
"Vpreb3",0,1.68450027584283,0.63,0.014,0,"0","Vpreb3"
"Mzb1",0,1.67265982505604,0.766,0.021,0,"0","Mzb1"
"Wdfy4",0,1.65725986292443,0.902,0.121,0,"0","Wdfy4"
"H2-Aa",0,1.65650985069323,0.871,0.123,0,"0","H2-Aa"
"H2-Eb1",0,1.56482371264132,0.869,0.117,0,"0","H2-Eb1"
"Fcrla",0,1.54956375048667,0.738,0.026,0,"0","Fcrla"
"Gm15987",0,1.5460883773976,0.721,0.047,0,"0","Gm15987"
"Cd52",0,1.5401944783566,0.983,0.454,0,"0","Cd52"
"Inpp5d",0,1.53853273726122,0.921,0.33,0,"0","Inpp5d"
"Foxp1",0,1.51875171402137,0.995,0.799,0,"0","Foxp1"
"Blk",0,1.51122990595384,0.741,0.036,0,"0","Blk"
"Stk17b",0,1.50200685496745,0.945,0.432,0,"0","Stk17b"
"Pou2f2",0,1.49616967625626,0.82,0.118,0,"0","Pou2f2"
"Bcar3",0,1.48106722584015,0.685,0.128,0,"0","Bcar3"
"Chst3",0,1.47535414460227,0.723,0.029,0,"0","Chst3"
"Lyn",0,1.45982689647432,0.954,0.291,0,"0","Lyn"
"Pkig",0,1.4495004481616,0.859,0.26,0,"0","Pkig"
"Mycbp2",0,1.42784200469485,0.954,0.689,0,"0","Mycbp2"
"Swap70",0,1.41702662687403,0.769,0.231,0,"0","Swap70"
"Fli1",0,1.41200176853218,0.923,0.377,0,"0","Fli1"
"Slc12a6",0,1.41110831563914,0.885,0.38,0,"0","Slc12a6"
"Slc9a7",0,1.38865392610727,0.699,0.062,0,"0","Slc9a7"
"Plekhm3",0,1.38655821448344,0.804,0.194,0,"0","Plekhm3"
"Fchsd2",0,1.38516791649156,0.802,0.484,0,"0","Fchsd2"
"Arhgap24",0,1.37781718499737,0.749,0.262,0,"0","Arhgap24"
"Pag1",0,1.36077234212131,0.787,0.307,0,"0","Pag1"
"Ly86",0,1.35356403040854,0.816,0.148,0,"0","Ly86"
"Plcg2",0,1.35172045804774,0.815,0.17,0,"0","Plcg2"
"BE692007",0,1.350361634827,0.666,0.076,0,"0","BE692007"
"Gm26740",0,1.33997011137675,0.9,0.327,0,"0","Gm26740"
"Prkce",0,1.33928225255748,0.822,0.324,0,"0","Prkce"
"Rasgrp3",0,1.33885680140273,0.65,0.037,0,"0","Rasgrp3"
"Marchf1",0,1.33149372267382,0.708,0.125,0,"0","Marchf1"
"Gimap6",0,1.32896011075941,0.897,0.245,0,"0","Gimap6"
"H2-Ob",0,1.31264123006131,0.711,0.027,0,"0","H2-Ob"
"H2-Ab1",0,1.3095972220626,0.826,0.109,0,"0","H2-Ab1"
"Ppp3ca",0,1.30468681841416,0.937,0.636,0,"0","Ppp3ca"
"Eif2ak3",0,1.29022395340585,0.658,0.197,0,"0","Eif2ak3"
"Btk",0,1.27471315745136,0.744,0.082,0,"0","Btk"
"Pecam1",0,1.27168002744952,0.83,0.216,0,"0","Pecam1"
"Gm30211",0,1.2683153335684,0.543,0.011,0,"0","Gm30211"
"Nedd9",0,1.25241484591273,0.902,0.448,0,"0","Nedd9"
"Apobec3",0,1.24054578621907,0.818,0.208,0,"0","Apobec3"
"Btg1",0,1.23903262090245,0.977,0.65,0,"0","Btg1"
"Syk",0,1.2388519817933,0.786,0.193,0,"0","Syk"
"Foxn3",0,1.23843229569073,0.941,0.589,0,"0","Foxn3"
"Cd180",0,1.23531370702998,0.678,0.071,0,"0","Cd180"
"Tmem131l",0,1.23142975117662,0.832,0.304,0,"0","Tmem131l"
"Serinc3",0,1.21828902954135,0.92,0.476,0,"0","Serinc3"
"Map3k1",0,1.21692435116673,0.833,0.352,0,"0","Map3k1"
"Fcer2a",0,1.21095311060621,0.445,0.007,0,"0","Fcer2a"
"Ripor2",0,1.20760281856434,0.896,0.323,0,"0","Ripor2"
"Napsa",0,1.20090197287426,0.74,0.092,0,"0","Napsa"
"H2-DMb2",0,1.19170430613029,0.673,0.039,0,"0","H2-DMb2"
"Maml2",0,1.18634753843097,0.834,0.458,0,"0","Maml2"
"Ly6e",0,1.18260409921356,0.919,0.355,0,"0","Ly6e"
"Cd22",0,1.17409737948118,0.655,0.025,0,"0","Cd22"
"Tnfrsf13c",0,1.17033158745572,0.613,0.017,0,"0","Tnfrsf13c"
"Unc93b1",0,1.17016986701678,0.866,0.222,0,"0","Unc93b1"
"Fcrl1",0,1.16236200816604,0.637,0.021,0,"0","Fcrl1"
"Snx2",0,1.15882635146724,0.883,0.418,0,"0","Snx2"
"Dgkd",0,1.15762747564046,0.818,0.353,0,"0","Dgkd"
"Ltb",0,1.15347068518147,0.791,0.217,0,"0","Ltb"
"Cyrib",0,1.1444053646463,0.945,0.539,0,"0","Cyrib"
"Ero1b",0,1.13162962688455,0.614,0.088,0,"0","Ero1b"
"Mir142hg",0,1.12896129342381,0.942,0.412,0,"0","Mir142hg"
"Cd19",0,1.12814530549937,0.655,0.013,0,"0","Cd19"
"Card11",0,1.12649592940348,0.718,0.174,0,"0","Card11"
"Dock2",0,1.11774802928875,0.986,0.458,0,"0","Dock2"
"Itpr1",0,1.10178993140537,0.829,0.4,0,"0","Itpr1"
"Rel",0,1.09081359690937,0.81,0.299,0,"0","Rel"
"Siglecg",0,1.08971304930382,0.63,0.025,0,"0","Siglecg"
"A630001G21Rik",0,1.08700445476876,0.702,0.139,0,"0","A630001G21Rik"
"Pik3ap1",0,1.08330437219739,0.752,0.163,0,"0","Pik3ap1"
"Pou2af1",0,1.0789348288828,0.576,0.019,0,"0","Pou2af1"
"Tut4",0,1.07696967103527,0.937,0.615,0,"0","Tut4"
"Cd55",0,1.07684404067102,0.677,0.187,0,"0","Cd55"
"Pold4",0,1.07581668793827,0.68,0.207,0,"0","Pold4"
"Foxo1",0,1.06581508355453,0.774,0.307,0,"0","Foxo1"
"E330020D12Rik",0,1.05954162875138,0.479,0.078,0,"0","E330020D12Rik"
"Snx30",0,1.0595370756544,0.691,0.149,0,"0","Snx30"
"Cd38",0,1.05559400000841,0.608,0.121,0,"0","Cd38"
"Sh3bp5",0,1.04859016081719,0.682,0.186,0,"0","Sh3bp5"
"Ppp1r16b",0,1.0455375246533,0.641,0.17,0,"0","Ppp1r16b"
"Strbp",0,1.03835794214862,0.795,0.356,0,"0","Strbp"
"Bmp2k",0,1.03211321780011,0.733,0.293,0,"0","Bmp2k"
"Mndal",0,1.02322093186922,0.777,0.295,0,"0","Mndal"
"Ifi30",0,1.01819825412451,0.737,0.299,0,"0","Ifi30"
"Akt3",0,1.01284682884492,0.721,0.311,0,"0","Akt3"
"Msn",0,1.01128561429946,0.946,0.565,0,"0","Msn"
"Sp100",0,1.00521875964098,0.825,0.314,0,"0","Sp100"
"Baz1a",0,1.00230558550719,0.804,0.354,0,"0","Baz1a"
"Skap1",0,3.05087011566706,0.959,0.038,0,"1","Skap1"
"Ms4a4b",0,2.80953596788874,0.804,0.029,0,"1","Ms4a4b"
"Trbc2",0,2.7582326574456,0.888,0.041,0,"1","Trbc2"
"Lef1",0,2.64108107717891,0.812,0.089,0,"1","Lef1"
"Gm2682",0,2.5668369703078,0.73,0.016,0,"1","Gm2682"
"Cd3g",0,2.43899606570953,0.859,0.018,0,"1","Cd3g"
"Itk",0,2.32814601178697,0.89,0.039,0,"1","Itk"
"Ccl5",0,2.21889403279622,0.259,0.013,0,"1","Ccl5"
"Themis",0,2.18473388721457,0.709,0.013,0,"1","Themis"
"Prkch",0,2.12623504288661,0.833,0.104,0,"1","Prkch"
"Camk4",0,1.95295370453401,0.813,0.056,0,"1","Camk4"
"Ikzf2",0,1.93600437240461,0.562,0.122,0,"1","Ikzf2"
"Bcl11b",0,1.92922762861391,0.781,0.073,0,"1","Bcl11b"
"Cd3d",0,1.92116234490926,0.763,0.017,0,"1","Cd3d"
"Inpp4b",0,1.90924662094889,0.858,0.337,0,"1","Inpp4b"
"Trbc1",0,1.88983462520423,0.598,0.018,0,"1","Trbc1"
"Grap2",0,1.85159992262387,0.82,0.166,0,"1","Grap2"
"Satb1",0,1.83355823766856,0.798,0.26,0,"1","Satb1"
"Prkcq",0,1.83045227546423,0.78,0.026,0,"1","Prkcq"
"Emb",0,1.79271740033153,0.852,0.143,0,"1","Emb"
"Tcf7",0,1.76028540152576,0.733,0.054,0,"1","Tcf7"
"Trac",0,1.68878654989495,0.607,0.052,0,"1","Trac"
"Cd247",0,1.68875862469075,0.747,0.019,0,"1","Cd247"
"Cd3e",0,1.65218273121436,0.743,0.012,0,"1","Cd3e"
"Vps37b",0,1.60877792781346,0.764,0.247,0,"1","Vps37b"
"Fyb",0,1.6084428672891,0.878,0.187,0,"1","Fyb"
"Pitpnc1",0,1.55830290249942,0.873,0.298,0,"1","Pitpnc1"
"Tnik",0,1.50458553226233,0.859,0.244,0,"1","Tnik"
"Ptpn22",0,1.50077684122168,0.743,0.112,0,"1","Ptpn22"
"Arhgap15",0,1.48623775243332,0.981,0.497,0,"1","Arhgap15"
"Gramd3",0,1.46725036217991,0.648,0.267,0,"1","Gramd3"
"Txk",0,1.46544965496474,0.735,0.042,0,"1","Txk"
"Ptprc",0,1.45174430660849,0.988,0.506,0,"1","Ptprc"
"Smc4",0,1.41763958881746,0.736,0.328,0,"1","Smc4"
"Ms4a6b",0,1.4031668376233,0.695,0.125,0,"1","Ms4a6b"
"Lck",0,1.39667208158189,0.733,0.055,0,"1","Lck"
"Pde3b",0,1.33460073209879,0.777,0.28,0,"1","Pde3b"
"Tmsb10",0,1.31976454928303,0.997,0.915,0,"1","Tmsb10"
"Ets1",0,1.3086053119967,0.94,0.38,0,"1","Ets1"
"Cd226",0,1.30074754575389,0.553,0.02,0,"1","Cd226"
"Gimap4",0,1.30020721313482,0.795,0.224,0,"1","Gimap4"
"Mbnl1",0,1.29167358822966,0.992,0.734,0,"1","Mbnl1"
"Klrd1",0,1.29063582502417,0.324,0.017,0,"1","Klrd1"
"Ipcef1",0,1.27882744261782,0.687,0.095,0,"1","Ipcef1"
"Gimap3",0,1.23780224079358,0.738,0.152,0,"1","Gimap3"
"Ikzf1",0,1.23549290551028,0.922,0.401,0,"1","Ikzf1"
"Septin1",0,1.2276229160004,0.839,0.233,0,"1","Septin1"
"Epsti1",0,1.22191423287065,0.768,0.307,0,"1","Epsti1"
"Stat4",0,1.19827720219127,0.732,0.179,0,"1","Stat4"
"Ppm1h",0,1.19418548872248,0.786,0.233,0,"1","Ppm1h"
"H2-K1",0,1.18529469823303,0.959,0.583,0,"1","H2-K1"
"Dgka",0,1.18058898002025,0.661,0.188,0,"1","Dgka"
"Nkg7",0,1.16962875871638,0.372,0.008,0,"1","Nkg7"
"Cd28",0,1.15702535771955,0.522,0.016,0,"1","Cd28"
"Tox",0,1.14828046453588,0.688,0.257,0,"1","Tox"
